item,model,params,a_param,b_param
1,2PLM,2,0.549,0.093
2,2PLM,2,0.311,0.539
3,2PLM,2,0.53,0.386
4,2PLM,2,0.491,-0.047
5,2PLM,2,0.438,0.248
6,2PLM,2,0.548,0.589
7,2PLM,2,0.51,0.856
8,2PLM,2,0.39,-0.238
9,2PLM,2,0.561,-0.599
10,2PLM,2,0.471,0.489
11,2PLM,2,0.572,-0.16
12,2PLM,2,0.56,1.187
13,2PLM,2,0.659,-0.609
14,2PLM,2,0.515,-0.014
15,2PLM,2,0.647,1.294
16,2PLM,2,0.493,0.62
17,2PLM,2,0.34,-1.336
18,2PLM,2,0.655,0.13
19,2PLM,2,0.602,0.043
20,2PLM,2,0.684,0.179
21,2PLM,2,0.534,0.549
22,2PLM,2,0.594,-0.241
23,2PLM,2,0.7,-1.304
24,2PLM,2,0.611,-2.27
25,2PLM,2,0.657,0.336
26,2PLM,2,0.4,-2.218
27,2PLM,2,0.523,-0.311
28,2PLM,2,0.316,-0.662
29,2PLM,2,0.553,-0.383
30,2PLM,2,0.363,0.433
